matn,cpc
برگ کنار ,1690
برگ گزنه ,1690
بومادران ,1690
به لیمو,1690
بیدخشت ,1690
پر سیاوشان,1690
پودر و خمیر کاری,1690
تاج خروس وحشی ,1690
تاجریزی ,1690
تخم بالنگوی شهری,1690
تخم مرو ,1690
ترنجبین ,1690
جفت ,1690
چله‌داغی ,1690
چماز (سرخس دوپایه) ,1690
حنا- دارویی,1690
خاکشیر,1690
ختمی ,1690
خزه‌ها,1690
درمنه ,1690
رزماری ,1690
روناس ,1690
ریحان و تخم ریحان ,1690
ریزوم ثعلب ,1690
ریشه کاسنی بو نداده,1690
ریشه چوبک ,1690
ریشه خاس و کوله خاس ,1690
ریشه ختمی ,1690
ریشه روناس ,1690
ریشه ریوند چینی (رویواس وحشی) ,1690
ریشه کاسنی ,1690
ریشه نرگس ,1690
"زردچوبه، جنس زردچوبه",1690
زعفران هندی,1690
زیره کوهی ,1690
ساقه سنبل ختایی,1690
سرخس بال عقابی,1690
سنبل الطیب ,1690
سورنجان (گل حسرت),1690
سیاه‌دانه ,1690
شاتره,1690
شکر تیغال ,1690
شوید و تخم شوید ,1690
شیرخشت ,1690
شیرین‌بیان ,1690
عدس‌الملک,1690
عشقه,1690
علف چای (گل راعی),1690
فرنجمشک,1690
قدومه شهری ,1690
قدومه شیرازی ,1690
کاپاریس ,1690
کاکنج,1690
کاوا,1690
کشمش کولی ,1690
گز شهداد ,1690
گل اروانه ,1690
گل بنفشه ,1690
گل پنیرک ,1690
گل حلوا ,1690
گل ختمی ,1690
