,economy,time,AG.LND.TOTL.K2,EN.ATM.GHGT.KT.CE,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,NY.GDP.MKTP.KD
5441,UMC,YR2005,54767943.8,14831684.467621,3759.5,878.0,,11194620833768.1
5442,UMC,YR2006,54865231.4,15697021.440431,4390.0,886.0,,12172524422779.5
5443,UMC,YR2007,54865009.8,16492300.530483,5241.0,1570.0,,13320373019499.0
5444,UMC,YR2008,54864138.8,16905399.664025,5990.7,1049.0,,14174587772992.4
5445,UMC,YR2009,54861020.0,17193496.118288,,,,14552208481627.2
5446,UMC,YR2010,54861018.0,18419380.26354,4874.75,1364.0,,15761298154658.2
5447,UMC,YR2011,54861418.0,19556723.093987,,1811.0,,16844428103756.2
5448,UMC,YR2012,54861203.0,20004775.850288,,,,17840529799426.1
5449,UMC,YR2013,54858612.0,20504257.858345,,1036.0,,18827441322227.1
5450,UMC,YR2014,54858481.0,20628429.767724,,1756.5,,19713452564429.4
5451,UMC,YR2015,54858566.0,20462177.564023,,1964.330166,,20559996802665.8
5452,UMC,YR2016,54858522.0,20466618.231818,,1908.5,,21426757073175.1
5453,UMC,YR2017,54858284.0,20916362.720873,,2340.0,,22542144401928.7
5454,UMC,YR2018,54858263.3,21580746.805832,,,,23655491704142.1
5455,UMC,YR2019,54857469.9,21944251.300354,,,,24630576550739.9
5456,UMC,YR2020,54854105.6,21786984.13134,,,,24462263876276.4
5457,UMC,YR2021,54869206.47,,,,,26317711591870.8
5458,URY,YR2000,175020.0,32273.77492,239.0,9.0,2993.0,36242902749.5716
5459,URY,YR2001,175020.0,31896.25416,209.0,9.0,2993.0,34849678466.8177
5460,URY,YR2002,175020.0,32208.80289,178.0,8.0,2993.0,32155098813.2195
5461,URY,YR2003,175020.0,33092.49209,188.0,11.0,2993.0,32414038652.1022
5462,URY,YR2004,175020.0,34999.62879,297.0,11.0,2993.0,34036089123.994
5463,URY,YR2005,175020.0,35171.5828,331.0,12.0,2993.0,36575226344.6127
5464,URY,YR2006,175020.0,37305.26135,304.0,17.0,2993.0,38074290288.9132
5465,URY,YR2007,175020.0,36267.40471,284.0,15.0,1641.0,40564924117.3376
5466,URY,YR2008,175020.0,38840.32107,,,1641.0,43475921755.0631
5467,URY,YR2009,175020.0,38394.97792,,,,45320819970.7986
5468,URY,YR2010,175020.0,35997.26408,,,,48857389210.184
5469,URY,YR2011,175020.0,37547.54342,,,,51379472633.5779
5470,URY,YR2012,175020.0,38415.67806,,,,53197370201.0395
5471,URY,YR2013,175020.0,37423.4523,,,,55664418793.7377
5472,URY,YR2014,175020.0,36920.50083,,8.0,1498.0,57467273107.5946
5473,URY,YR2015,175020.0,36807.52917,,8.0,1498.0,57680327998.6689
5474,URY,YR2016,175020.0,37086.2774,,,1498.0,58655009119.4887
5475,URY,YR2017,175020.0,36326.40903,,,1498.0,59675827109.951
5476,URY,YR2018,175020.0,36239.20895,,,1498.0,59768921400.9216
5477,URY,YR2019,175020.0,36560.93778,,,1498.0,60213860165.6919
5478,URY,YR2020,175020.0,35994.19321,,,1498.0,56442680061.7659
5479,URY,YR2021,175020.0,,,,1498.0,59420911301.5972
5480,USA,YR2000,9161920.0,6810655.857,2140191.0,25977.28144892,194077.0,13754300444000.0
5481,USA,YR2001,9161920.0,6759405.527,2183277.0,25198.095303748,194746.0,13885563060000.0
5482,USA,YR2002,9161920.0,6605762.539,2200123.0,24409.622511445,198057.0,14121054284000.0
5483,USA,YR2003,9161920.0,6670155.705,2264983.0,25044.071809908,196806.0,14515908489000.0
5484,USA,YR2004,9161920.0,6752991.006,2427268.0,24776.56200888,195369.0,15075141499000.0
5485,USA,YR2005,9161920.0,6772890.756,2476653.0,25393.591629483,194025.0,15600241891000.0
5486,USA,YR2006,9161920.0,6683781.075,2586836.0,27296.432407703,191771.0,16034367080000.0
5487,USA,YR2007,9161920.0,6787855.005,2584940.0,30357.906712861,192508.0,16356739241000.0
5488,USA,YR2008,9147420.0,6601049.857,2594631.0,32143.406016433,192123.0,16376725286000.0
5489,USA,YR2009,9147420.0,6184149.347,2236917.0,30906.931637514,191785.0,15950948713000.0
5490,USA,YR2010,9147420.0,6454244.95,2468738.0,31871.671919151,194431.0,16383037055000.0
5491,USA,YR2011,9147420.0,6254958.264,2524585.0,32579.510200833,194136.0,16636956919000.0
5492,USA,YR2012,9147420.0,6036576.77,2500300.0,34125.70065511,153516.6,17016393933000.0
5493,USA,YR2013,9147420.0,6177416.993,2541354.0,36047.104941171,154321.5,17329814706000.0
